tempo,key,mode,loudness,time_signature,duration_ms,danceability,acousticness,speechiness,liveness,energy,instrumentalness,valence
86.982,1.0,1.0,-9.861,4.0,279000.0,0.493,0.511,0.0253,0.112,0.288,0.0,0.318
106.908,9.0,0.0,-7.59,4.0,273960.0,0.686,0.436,0.0241,0.0879,0.48,0.0,0.729
144.027,9.0,1.0,-6.721,4.0,207840.0,0.552,0.333,0.0286,0.0901,0.521,0.0,0.142
133.175,8.0,1.0,-5.801,4.0,285547.0,0.399,0.583,0.0357,0.104,0.512,0.0,0.197
127.967,4.0,1.0,-6.757,4.0,253080.0,0.526,0.595,0.0286,0.372,0.551,0.0,0.275
79.989,0.0,1.0,-5.755,4.0,298293.0,0.486,0.617,0.0262,0.116,0.424,0.0,0.286
139.926,9.0,1.0,-7.779,4.0,321040.0,0.502,0.696,0.0358,0.156,0.565,5.55e-05,0.253
169.845,10.0,1.0,-8.483,4.0,282770.0,0.36,0.421,0.0337,0.109,0.465,0.000278,0.205
79.995,8.0,1.0,-7.898,4.0,281413.0,0.719,0.751,0.0944,0.0776,0.484,0.0,0.438
139.956,4.0,1.0,-6.632,4.0,233360.0,0.565,0.56,0.0346,0.115,0.455,0.0,0.182
135.053,3.0,1.0,-3.968,4.0,287000.0,0.471,0.63,0.0342,0.122,0.648,0.0,0.239
145.054,2.0,1.0,-5.905,4.0,265800.0,0.402,0.534,0.0335,0.112,0.641,0.0,0.252
112.006,7.0,1.0,-7.53,4.0,272973.0,0.67,0.538,0.0278,0.111,0.518,0.0,0.195
175.48,3.0,1.0,-9.159,4.0,319440.0,0.272,0.519,0.0299,0.167,0.352,0.0,0.139
95.529,2.0,1.0,-14.649,4.0,310295.0,0.586,0.847,0.0307,0.0515,0.197,3.36e-06,0.299
124.025,4.0,1.0,-8.497,4.0,284680.0,0.534,0.396,0.0367,0.16,0.386,0.0,0.164
73.775,6.0,1.0,-8.593,4.0,285831.0,0.373,0.83,0.0316,0.179,0.32,0.0,0.357
135.103,2.0,1.0,-5.276,4.0,244470.0,0.426,0.785,0.0361,0.259,0.487,0.0,0.28
120.019,2.0,1.0,-6.497,4.0,232897.0,0.666,0.78,0.0289,0.0911,0.574,0.0,0.659
123.987,8.0,1.0,-9.126,4.0,205424.0,0.6,0.865,0.0335,0.104,0.468,3.13e-06,0.203
143.98,7.0,1.0,-8.328,4.0,296533.0,0.55,0.256,0.0243,0.147,0.603,0.0,0.175
136.054,5.0,0.0,-4.051,4.0,287027.0,0.509,0.502,0.0301,0.0989,0.646,1.23e-05,0.135
117.978,9.0,1.0,-5.483,4.0,285000.0,0.512,0.192,0.0295,0.302,0.551,0.0,0.206
81.959,9.0,0.0,-7.216,4.0,282400.0,0.591,0.338,0.0271,0.081,0.364,0.0,0.232
139.972,4.0,1.0,-8.016,4.0,289067.0,0.434,0.755,0.0341,0.109,0.391,0.0,0.283
131.892,10.0,1.0,-8.471,4.0,279147.0,0.518,0.322,0.0277,0.117,0.462,3.13e-06,0.289
159.957,4.0,1.0,-5.274,4.0,261560.0,0.422,0.214,0.0292,0.129,0.657,0.0,0.218
135.98,4.0,1.0,-4.615,4.0,203200.0,0.638,0.661,0.0315,0.105,0.646,0.0,0.208
124.692,4.0,1.0,-5.588,4.0,274800.0,0.479,0.531,0.0322,0.137,0.542,5.19e-06,0.347
151.89,4.0,1.0,-7.864,4.0,275120.0,0.465,0.407,0.0273,0.109,0.496,0.0,0.167
137.64,1.0,1.0,-10.28,4.0,269533.0,0.554,0.569,0.0303,0.261,0.39,0.0,0.292
144.006,7.0,1.0,-7.124,4.0,265507.0,0.472,0.433,0.0255,0.414,0.507,0.0,0.408
97.051,5.0,0.0,-7.649,4.0,233840.0,0.712,0.196,0.0268,0.15,0.526,7.5e-06,0.641
67.907,8.0,1.0,-8.403,4.0,264813.0,0.25,0.227,0.0303,0.102,0.386,0.0,0.162
135.889,7.0,1.0,-6.712,4.0,206053.0,0.598,0.284,0.0373,0.127,0.538,0.0,0.157
127.826,4.0,1.0,-6.787,4.0,311813.0,0.511,0.76,0.0366,0.104,0.511,0.0,0.239
84.008,3.0,1.0,-9.829,4.0,250093.0,0.541,0.899,0.0281,0.113,0.238,0.0,0.159
119.855,7.0,1.0,-4.503,4.0,262413.0,0.677,0.143,0.0292,0.132,0.609,0.0,0.344
90.079,0.0,1.0,-10.804,4.0,284467.0,0.646,0.552,0.0268,0.0964,0.356,1.63e-06,0.684
91.864,8.0,1.0,-13.016,4.0,209760.0,0.631,0.841,0.0329,0.228,0.233,3.24e-06,0.442
136.049,4.0,1.0,-8.639,4.0,276600.0,0.578,0.129,0.0258,0.0712,0.448,0.0,0.17
147.99,5.0,1.0,-10.292,4.0,242440.0,0.328,0.303,0.0378,0.259,0.32,0.0,0.2
142.006,1.0,1.0,-4.133,4.0,245600.0,0.498,0.549,0.027,0.166,0.593,0.0,0.458
142.291,2.0,1.0,-7.582,4.0,232933.0,0.459,0.0762,0.0342,0.1,0.451,5.85e-05,0.304
138.178,10.0,1.0,-6.138,4.0,251400.0,0.543,0.198,0.0267,0.105,0.464,0.0,0.365
137.093,1.0,1.0,-6.405,4.0,216627.0,0.494,0.658,0.0333,0.133,0.476,0.0,0.258
133.974,11.0,1.0,-7.049,4.0,321629.0,0.368,0.729,0.0298,0.132,0.449,0.0,0.273
95.201,3.0,1.0,-6.073,4.0,218027.0,0.637,0.732,0.0254,0.127,0.442,0.0,0.338
125.646,3.0,1.0,-6.931,4.0,262013.0,0.438,0.245,0.0302,0.305,0.45,0.0,0.181
78.011,0.0,1.0,-3.697,4.0,346282.0,0.488,0.0119,0.0277,0.0825,0.602,0.0,0.225
78.169,4.0,1.0,-3.915,4.0,281867.0,0.556,0.148,0.0257,0.17,0.664,0.0,0.494
124.116,5.0,1.0,-6.963,4.0,279960.0,0.563,0.721,0.0284,0.237,0.546,0.0,0.258
76.966,8.0,1.0,-6.294,4.0,298427.0,0.479,0.65,0.032,0.115,0.657,0.0,0.238
80.197,7.0,1.0,-7.181,4.0,299347.0,0.422,0.728,0.0333,0.112,0.366,0.0,0.224
130.004,10.0,1.0,-10.726,4.0,254267.0,0.559,0.581,0.0397,0.111,0.342,0.0,0.334
133.99,0.0,0.0,-7.58,4.0,211801.0,0.648,0.752,0.0281,0.17,0.519,0.0,0.374
74.62,9.0,1.0,-9.382,4.0,333629.0,0.486,0.677,0.0408,0.0873,0.438,0.0,0.399
139.866,5.0,1.0,-7.845,4.0,285234.0,0.461,0.391,0.035,0.147,0.454,7.75e-06,0.243
141.967,3.0,1.0,-6.286,4.0,248527.0,0.537,0.752,0.0309,0.114,0.592,0.0,0.184
139.904,11.0,1.0,-10.053,4.0,285272.0,0.639,0.816,0.0374,0.124,0.395,1.35e-06,0.158
130.056,6.0,1.0,-7.396,4.0,283969.0,0.575,0.45,0.0289,0.101,0.562,0.0,0.334
129.99,5.0,1.0,-10.063,4.0,269583.0,0.555,0.871,0.0289,0.0679,0.268,0.0,0.297
129.85,8.0,1.0,-7.6,4.0,269875.0,0.55,0.923,0.0288,0.12,0.318,4.92e-06,0.104
120.163,7.0,1.0,-7.176,4.0,255318.0,0.638,0.759,0.0376,0.161,0.464,0.0,0.207
135.999,9.0,1.0,-6.194,4.0,266957.0,0.535,0.622,0.0375,0.303,0.511,0.0,0.247
112.059,6.0,1.0,-6.176,4.0,257313.0,0.647,0.862,0.0292,0.112,0.437,0.0,0.297
127.979,4.0,1.0,-8.58,4.0,248438.0,0.508,0.745,0.0297,0.156,0.416,0.0,0.362
174.607,2.0,1.0,-8.039,4.0,256552.0,0.289,0.552,0.0378,0.0725,0.452,0.0,0.182
130.088,10.0,1.0,-6.398,4.0,234917.0,0.623,0.885,0.0327,0.15,0.47,0.0,0.245
129.846,5.0,1.0,-6.755,4.0,210731.0,0.652,0.743,0.0298,0.0973,0.425,0.0,0.224
99.028,3.0,1.0,-6.906,4.0,279005.0,0.713,0.549,0.0311,0.123,0.573,0.0,0.171
